#t MKKK MKKK_P MKK MKK_P MKK_PP MAPK MAPK_P MAPK_PP 
##CONCENTRATIONS
0 90 10 280 10 10 280 10 10 
0.1 89.9073 10.0927 280.006 10.0138 9.98007 279.996 10.0137 9.99 
0.2 89.8146 10.1854 280.012 10.0276 9.96027 279.993 10.0273 9.98 
0.3 89.722 10.278 280.018 10.0414 9.94062 279.989 10.0409 9.97 
0.4 89.6293 10.3707 280.024 10.0554 9.9211 279.986 10.0544 9.96 
0.5 89.5367 10.4633 280.029 10.0694 9.90171 279.982 10.0678 9.95 
0.6 89.4441 10.5559 280.034 10.0834 9.88246 279.979 10.0812 9.94001 
0.7 89.3514 10.6486 280.039 10.0975 9.86335 279.975 10.0945 9.93001 
0.8 89.2588 10.7412 280.044 10.1117 9.84438 279.972 10.1078 9.92001 
0.9 89.1662 10.8338 280.049 10.1259 9.82554 279.969 10.121 9.91002 
1 89.0736 10.9264 280.053 10.1402 9.80684 279.966 10.1341 9.90002 
1.1 88.981 11.019 280.057 10.1545 9.78828 279.963 10.1472 9.89003 
1.2 88.8884 11.1116 280.061 10.1689 9.76985 279.96 10.1602 9.88004 
1.3 88.7958 11.2042 280.065 10.1834 9.75156 279.957 10.1732 9.87005 
1.4 88.7033 11.2967 280.069 10.1979 9.73341 279.954 10.1861 9.86005 
1.5 88.6107 11.3893 280.072 10.2125 9.71539 279.951 10.1989 9.85007 
1.6 88.5181 11.4819 280.075 10.2271 9.69751 279.948 10.2117 9.84008 
1.7 88.4255 11.5745 280.078 10.2418 9.67977 279.946 10.2244 9.83009 
1.8 88.333 11.667 280.081 10.2565 9.66216 279.943 10.2371 9.82011 
1.9 88.2404 11.7596 280.084 10.2713 9.64469 279.94 10.2497 9.81012 
2 88.1478 11.8522 280.087 10.2861 9.62736 279.938 10.2622 9.80014 
2.1 88.0553 11.9447 280.089 10.301 9.61016 279.935 10.2747 9.79016 
2.2 87.9627 12.0373 280.091 10.316 9.5931 279.933 10.2871 9.78018 
2.3 87.8702 12.1298 280.093 10.331 9.57617 279.93 10.2995 9.77021 
2.4 87.7776 12.2224 280.094 10.3461 9.55939 279.928 10.3118 9.76023 
2.5 87.6851 12.3149 280.096 10.3613 9.54273 279.926 10.3241 9.75026 
2.6 87.5925 12.4075 280.097 10.3764 9.52622 279.923 10.3363 9.74029 
2.7 87.4999 12.5001 280.098 10.3917 9.50984 279.921 10.3484 9.73032 
2.8 87.4074 12.5926 280.099 10.407 9.4936 279.919 10.3605 9.72035 
2.9 87.3148 12.6852 280.1 10.4224 9.47749 279.917 10.3725 9.71039 
3 87.2222 12.7778 280.101 10.4378 9.46152 279.915 10.3845 9.70043 
3.1 87.1297 12.8703 280.101 10.4533 9.44569 279.913 10.3965 9.69047 
3.2 87.0371 12.9629 280.101 10.4688 9.42999 279.911 10.4083 9.68052 
3.3 86.9445 13.0555 280.101 10.4844 9.41443 279.909 10.4201 9.67056 
3.4 86.8519 13.1481 280.101 10.5 9.399 279.907 10.4319 9.66061 
3.5 86.7594 13.2406 280.101 10.5157 9.38371 279.906 10.4436 9.65067 
3.6 86.6668 13.3332 280.1 10.5315 9.36856 279.904 10.4553 9.64072 
3.7 86.5742 13.4258 280.099 10.5473 9.35355 279.902 10.4669 9.63078 
3.8 86.4816 13.5184 280.098 10.5632 9.33867 279.901 10.4785 9.62084 
3.9 86.389 13.611 280.097 10.5791 9.32392 279.899 10.49 9.61091 
4 86.2964 13.7036 280.096 10.5951 9.30931 279.898 10.5014 9.60098 
4.1 86.2037 13.7963 280.094 10.6111 9.29484 279.896 10.5128 9.59105 
4.2 86.1111 13.8889 280.092 10.6272 9.28051 279.895 10.5242 9.58113 
4.3 86.0185 13.9815 280.09 10.6434 9.26631 279.893 10.5355 9.5712 
4.4 85.9258 14.0742 280.088 10.6596 9.25224 279.892 10.5467 9.56129 
4.5 85.8332 14.1668 280.086 10.6758 9.23832 279.891 10.5579 9.55137 
4.6 85.7405 14.2595 280.083 10.6922 9.22452 279.889 10.5691 9.54147 
4.7 85.6479 14.3521 280.081 10.7085 9.21087 279.888 10.5802 9.53156 
4.8 85.5552 14.4448 280.078 10.725 9.19735 279.887 10.5912 9.52166 
4.9 85.4625 14.5375 280.075 10.7415 9.18396 279.886 10.6023 9.51176 
5 85.3698 14.6302 280.071 10.758 9.17072 279.885 10.6132 9.50187 
5.1 85.2771 14.7229 280.068 10.7746 9.1576 279.884 10.6241 9.49198 
5.2 85.1844 14.8156 280.064 10.7913 9.14463 279.883 10.635 9.4821 
5.3 85.0917 14.9083 280.06 10.808 9.13179 279.882 10.6458 9.47222 
5.4 84.999 15.001 280.056 10.8247 9.11908 279.881 10.6566 9.46235 
5.5 84.9062 15.0938 280.052 10.8416 9.10651 279.88 10.6673 9.45248 
5.6 84.8135 15.1865 280.047 10.8584 9.09408 279.879 10.6779 9.44261 
5.7 84.7207 15.2793 280.043 10.8754 9.08178 279.879 10.6886 9.43276 
5.8 84.6279 15.3721 280.038 10.8924 9.06962 279.878 10.6991 9.4229 
5.9 84.5351 15.4649 280.033 10.9094 9.0576 279.877 10.7097 9.41305 
6 84.4423 15.5577 280.028 10.9265 9.0457 279.877 10.7202 9.40321 
6.1 84.3495 15.6505 280.022 10.9437 9.03395 279.876 10.7306 9.39337 
6.2 84.2567 15.7433 280.017 10.9609 9.02233 279.875 10.741 9.38354 
6.3 84.1639 15.8361 280.011 10.9782 9.01085 279.875 10.7514 9.37371 
6.4 84.071 15.929 280.005 10.9955 8.9995 279.874 10.7617 9.36389 
6.5 83.9782 16.0218 279.999 11.0129 8.98829 279.874 10.7719 9.35408 
