#t MKKK MKKK_P MKK MKK_P MKK_PP MAPK MAPK_P MAPK_PP 
##CONCENTRATIONS
0 90 10 280 10 10 280 10 10 
0.01 89.9907 10.0093 280.001 10.0014 9.998 280 10.0014 9.999 
0.02 89.9815 10.0185 280.001 10.0027 9.996 279.999 10.0027 9.998 
0.03 89.9722 10.0278 280.002 10.0041 9.99401 279.999 10.0041 9.997 
0.04 89.9629 10.0371 280.002 10.0055 9.99201 279.999 10.0055 9.996 
0.05 89.9537 10.0463 280.003 10.0069 9.99002 279.998 10.0069 9.995 
0.06 89.9444 10.0556 280.004 10.0082 9.98802 279.998 10.0082 9.994 
0.07 89.9351 10.0649 280.004 10.0096 9.98603 279.997 10.0096 9.993 
0.08 89.9259 10.0741 280.005 10.011 9.98404 279.997 10.011 9.992 
0.09 89.9166 10.0834 280.006 10.0124 9.98206 279.997 10.0123 9.991 
0.1 89.9073 10.0927 280.006 10.0138 9.98007 279.996 10.0137 9.99 
0.11 89.898 10.102 280.007 10.0151 9.97808 279.996 10.0151 9.989 
0.12 89.8888 10.1112 280.007 10.0165 9.9761 279.996 10.0164 9.988 
0.13 89.8795 10.1205 280.008 10.0179 9.97412 279.995 10.0178 9.987 
0.14 89.8702 10.1298 280.009 10.0193 9.97213 279.995 10.0192 9.986 
0.15 89.861 10.139 280.009 10.0207 9.97015 279.994 10.0205 9.985 
0.16 89.8517 10.1483 280.01 10.022 9.96818 279.994 10.0219 9.984 
0.17 89.8424 10.1576 280.01 10.0234 9.9662 279.994 10.0232 9.983 
0.18 89.8332 10.1668 280.011 10.0248 9.96422 279.993 10.0246 9.982 
0.19 89.8239 10.1761 280.012 10.0262 9.96225 279.993 10.026 9.981 
0.2 89.8146 10.1854 280.012 10.0276 9.96027 279.993 10.0273 9.98 
0.21 89.8054 10.1946 280.013 10.029 9.9583 279.992 10.0287 9.979 
0.22 89.7961 10.2039 280.013 10.0303 9.95633 279.992 10.03 9.978 
0.23 89.7868 10.2132 280.014 10.0317 9.95436 279.992 10.0314 9.977 
0.24 89.7776 10.2224 280.014 10.0331 9.95239 279.991 10.0328 9.976 
0.25 89.7683 10.2317 280.015 10.0345 9.95043 279.991 10.0341 9.975 
0.26 89.759 10.241 280.016 10.0359 9.94846 279.991 10.0355 9.974 
0.27 89.7498 10.2502 280.016 10.0373 9.9465 279.99 10.0368 9.973 
0.28 89.7405 10.2595 280.017 10.0387 9.94454 279.99 10.0382 9.972 
0.29 89.7312 10.2688 280.017 10.0401 9.94258 279.989 10.0395 9.971 
0.3 89.722 10.278 280.018 10.0414 9.94062 279.989 10.0409 9.97 
0.31 89.7127 10.2873 280.019 10.0428 9.93866 279.989 10.0423 9.969 
0.32 89.7035 10.2965 280.019 10.0442 9.9367 279.988 10.0436 9.968 
0.33 89.6942 10.3058 280.02 10.0456 9.93475 279.988 10.045 9.967 
0.34 89.6849 10.3151 280.02 10.047 9.93279 279.988 10.0463 9.966 
0.35 89.6757 10.3243 280.021 10.0484 9.93084 279.987 10.0477 9.965 
0.36 89.6664 10.3336 280.021 10.0498 9.92889 279.987 10.049 9.964 
0.37 89.6571 10.3429 280.022 10.0512 9.92694 279.987 10.0504 9.963 
0.38 89.6479 10.3521 280.022 10.0526 9.92499 279.986 10.0517 9.962 
0.39 89.6386 10.3614 280.023 10.054 9.92304 279.986 10.0531 9.961 
0.4 89.6293 10.3707 280.024 10.0554 9.9211 279.986 10.0544 9.96 
0.41 89.6201 10.3799 280.024 10.0568 9.91915 279.985 10.0558 9.959 
0.42 89.6108 10.3892 280.025 10.0582 9.91721 279.985 10.0571 9.958 
0.43 89.6015 10.3985 280.025 10.0596 9.91527 279.985 10.0584 9.957 
0.44 89.5923 10.4077 280.026 10.061 9.91333 279.984 10.0598 9.956 
0.45 89.583 10.417 280.026 10.0624 9.91139 279.984 10.0611 9.955 
0.46 89.5737 10.4263 280.027 10.0638 9.90945 279.984 10.0625 9.954 
0.47 89.5645 10.4355 280.027 10.0652 9.90751 279.983 10.0638 9.953 
0.48 89.5552 10.4448 280.028 10.0666 9.90558 279.983 10.0652 9.952 
0.49 89.546 10.454 280.028 10.068 9.90364 279.982 10.0665 9.951 
0.5 89.5367 10.4633 280.029 10.0694 9.90171 279.982 10.0678 9.95 
0.51 89.5274 10.4726 280.029 10.0708 9.89978 279.982 10.0692 9.949 
0.52 89.5182 10.4818 280.03 10.0722 9.89785 279.981 10.0705 9.948 
0.53 89.5089 10.4911 280.03 10.0736 9.89592 279.981 10.0719 9.94701 
0.54 89.4996 10.5004 280.031 10.075 9.894 279.981 10.0732 9.94601 
0.55 89.4904 10.5096 280.032 10.0764 9.89207 279.98 10.0745 9.94501 
0.56 89.4811 10.5189 280.032 10.0778 9.89015 279.98 10.0759 9.94401 
0.57 89.4718 10.5282 280.033 10.0792 9.88822 279.98 10.0772 9.94301 
0.58 89.4626 10.5374 280.033 10.0806 9.8863 279.979 10.0786 9.94201 
0.59 89.4533 10.5467 280.034 10.082 9.88438 279.979 10.0799 9.94101 
0.6 89.4441 10.5559 280.034 10.0834 9.88246 279.979 10.0812 9.94001 
0.61 89.4348 10.5652 280.035 10.0848 9.88055 279.978 10.0826 9.93901 
0.62 89.4255 10.5745 280.035 10.0862 9.87863 279.978 10.0839 9.93801 
0.63 89.4163 10.5837 280.036 10.0876 9.87672 279.978 10.0852 9.93701 
0.64 89.407 10.593 280.036 10.0891 9.8748 279.977 10.0866 9.93601 
0.65 89.3977 10.6023 280.037 10.0905 9.87289 279.977 10.0879 9.93501 
0.66 89.3885 10.6115 280.037 10.0919 9.87098 279.977 10.0892 9.93401 
0.67 89.3792 10.6208 280.038 10.0933 9.86907 279.976 10.0906 9.93301 
0.68 89.37 10.63 280.038 10.0947 9.86716 279.976 10.0919 9.93201 
0.69 89.3607 10.6393 280.039 10.0961 9.86526 279.976 10.0932 9.93101 
0.7 89.3514 10.6486 280.039 10.0975 9.86335 279.975 10.0945 9.93001 
0.71 89.3422 10.6578 280.04 10.0989 9.86145 279.975 10.0959 9.92901 
0.72 89.3329 10.6671 280.04 10.1004 9.85955 279.975 10.0972 9.92801 
0.73 89.3236 10.6764 280.041 10.1018 9.85765 279.974 10.0985 9.92701 
0.74 89.3144 10.6856 280.041 10.1032 9.85575 279.974 10.0999 9.92601 
0.75 89.3051 10.6949 280.042 10.1046 9.85385 279.974 10.1012 9.92501 
0.76 89.2959 10.7041 280.042 10.106 9.85195 279.973 10.1025 9.92401 
0.77 89.2866 10.7134 280.043 10.1074 9.85006 279.973 10.1038 9.92301 
0.78 89.2773 10.7227 280.043 10.1089 9.84816 279.973 10.1052 9.92201 
0.79 89.2681 10.7319 280.043 10.1103 9.84627 279.973 10.1065 9.92101 
0.8 89.2588 10.7412 280.044 10.1117 9.84438 279.972 10.1078 9.92001 
0.81 89.2496 10.7504 280.044 10.1131 9.84249 279.972 10.1091 9.91901 
0.82 89.2403 10.7597 280.045 10.1145 9.8406 279.972 10.1105 9.91801 
0.83 89.231 10.769 280.045 10.116 9.83871 279.971 10.1118 9.91701 
0.84 89.2218 10.7782 280.046 10.1174 9.83683 279.971 10.1131 9.91602 
0.85 89.2125 10.7875 280.046 10.1188 9.83494 279.971 10.1144 9.91502 
0.86 89.2032 10.7968 280.047 10.1202 9.83306 279.97 10.1157 9.91402 
0.87 89.194 10.806 280.047 10.1216 9.83118 279.97 10.1171 9.91302 
0.88 89.1847 10.8153 280.048 10.1231 9.8293 279.97 10.1184 9.91202 
0.89 89.1755 10.8245 280.048 10.1245 9.82742 279.969 10.1197 9.91102 
0.9 89.1662 10.8338 280.049 10.1259 9.82554 279.969 10.121 9.91002 
0.91 89.1569 10.8431 280.049 10.1273 9.82367 279.969 10.1223 9.90902 
0.92 89.1477 10.8523 280.049 10.1288 9.82179 279.968 10.1236 9.90802 
0.93 89.1384 10.8616 280.05 10.1302 9.81992 279.968 10.1249 9.90702 
0.94 89.1292 10.8708 280.05 10.1316 9.81805 279.968 10.1263 9.90602 
0.95 89.1199 10.8801 280.051 10.133 9.81618 279.967 10.1276 9.90502 
0.96 89.1106 10.8894 280.051 10.1345 9.81431 279.967 10.1289 9.90402 
0.97 89.1014 10.8986 280.052 10.1359 9.81244 279.967 10.1302 9.90302 
0.98 89.0921 10.9079 280.052 10.1373 9.81057 279.966 10.1315 9.90202 
0.99 89.0829 10.9171 280.053 10.1388 9.80871 279.966 10.1328 9.90102 
1 89.0736 10.9264 280.053 10.1402 9.80684 279.966 10.1341 9.90002 
1.01 89.0643 10.9357 280.053 10.1416 9.80498 279.966 10.1354 9.89902 
1.02 89.0551 10.9449 280.054 10.1431 9.80312 279.965 10.1368 9.89802 
1.03 89.0458 10.9542 280.054 10.1445 9.80126 279.965 10.1381 9.89702 
1.04 89.0366 10.9634 280.055 10.1459 9.7994 279.965 10.1394 9.89603 
1.05 89.0273 10.9727 280.055 10.1474 9.79754 279.964 10.1407 9.89503 
1.06 89.018 10.982 280.056 10.1488 9.79569 279.964 10.142 9.89403 
1.07 89.0088 10.9912 280.056 10.1502 9.79383 279.964 10.1433 9.89303 
1.08 88.9995 11.0005 280.056 10.1517 9.79198 279.963 10.1446 9.89203 
1.09 88.9903 11.0097 280.057 10.1531 9.79013 279.963 10.1459 9.89103 
1.1 88.981 11.019 280.057 10.1545 9.78828 279.963 10.1472 9.89003 
1.11 88.9717 11.0283 280.058 10.156 9.78643 279.962 10.1485 9.88903 
1.12 88.9625 11.0375 280.058 10.1574 9.78458 279.962 10.1498 9.88803 
1.13 88.9532 11.0468 280.058 10.1588 9.78274 279.962 10.1511 9.88703 
1.14 88.944 11.056 280.059 10.1603 9.78089 279.962 10.1524 9.88603 
1.15 88.9347 11.0653 280.059 10.1617 9.77905 279.961 10.1537 9.88503 
1.16 88.9255 11.0745 280.06 10.1632 9.77721 279.961 10.155 9.88403 
1.17 88.9162 11.0838 280.06 10.1646 9.77537 279.961 10.1563 9.88303 
1.18 88.9069 11.0931 280.06 10.166 9.77353 279.96 10.1576 9.88204 
1.19 88.8977 11.1023 280.061 10.1675 9.77169 279.96 10.1589 9.88104 
1.2 88.8884 11.1116 280.061 10.1689 9.76985 279.96 10.1602 9.88004 
1.21 88.8792 11.1208 280.062 10.1704 9.76802 279.959 10.1615 9.87904 
1.22 88.8699 11.1301 280.062 10.1718 9.76618 279.959 10.1628 9.87804 
1.23 88.8606 11.1394 280.062 10.1733 9.76435 279.959 10.1641 9.87704 
1.24 88.8514 11.1486 280.063 10.1747 9.76252 279.959 10.1654 9.87604 
1.25 88.8421 11.1579 280.063 10.1761 9.76069 279.958 10.1667 9.87504 
1.26 88.8329 11.1671 280.064 10.1776 9.75886 279.958 10.168 9.87404 
1.27 88.8236 11.1764 280.064 10.179 9.75704 279.958 10.1693 9.87304 
1.28 88.8144 11.1856 280.064 10.1805 9.75521 279.957 10.1706 9.87204 
1.29 88.8051 11.1949 280.065 10.1819 9.75339 279.957 10.1719 9.87104 
1.3 88.7958 11.2042 280.065 10.1834 9.75156 279.957 10.1732 9.87005 
1.31 88.7866 11.2134 280.065 10.1848 9.74974 279.956 10.1745 9.86905 
1.32 88.7773 11.2227 280.066 10.1863 9.74792 279.956 10.1758 9.86805 
1.33 88.7681 11.2319 280.066 10.1877 9.7461 279.956 10.1771 9.86705 
1.34 88.7588 11.2412 280.067 10.1892 9.74428 279.956 10.1783 9.86605 
1.35 88.7495 11.2505 280.067 10.1906 9.74247 279.955 10.1796 9.86505 
1.36 88.7403 11.2597 280.067 10.1921 9.74065 279.955 10.1809 9.86405 
1.37 88.731 11.269 280.068 10.1935 9.73884 279.955 10.1822 9.86305 
1.38 88.7218 11.2782 280.068 10.195 9.73703 279.954 10.1835 9.86205 
1.39 88.7125 11.2875 280.068 10.1964 9.73522 279.954 10.1848 9.86105 
1.4 88.7033 11.2967 280.069 10.1979 9.73341 279.954 10.1861 9.86005 
1.41 88.694 11.306 280.069 10.1993 9.7316 279.954 10.1874 9.85906 
1.42 88.6847 11.3153 280.069 10.2008 9.72979 279.953 10.1886 9.85806 
1.43 88.6755 11.3245 280.07 10.2022 9.72799 279.953 10.1899 9.85706 
1.44 88.6662 11.3338 280.07 10.2037 9.72619 279.953 10.1912 9.85606 
1.45 88.657 11.343 280.07 10.2052 9.72438 279.952 10.1925 9.85506 
1.46 88.6477 11.3523 280.071 10.2066 9.72258 279.952 10.1938 9.85406 
1.47 88.6385 11.3615 280.071 10.2081 9.72078 279.952 10.1951 9.85306 
1.48 88.6292 11.3708 280.071 10.2095 9.71898 279.952 10.1963 9.85206 
1.49 88.6199 11.3801 280.072 10.211 9.71719 279.951 10.1976 9.85106 
1.5 88.6107 11.3893 280.072 10.2125 9.71539 279.951 10.1989 9.85007 
1.51 88.6014 11.3986 280.072 10.2139 9.7136 279.951 10.2002 9.84907 
1.52 88.5922 11.4078 280.073 10.2154 9.71181 279.95 10.2015 9.84807 
1.53 88.5829 11.4171 280.073 10.2168 9.71001 279.95 10.2027 9.84707 
1.54 88.5737 11.4263 280.073 10.2183 9.70822 279.95 10.204 9.84607 
1.55 88.5644 11.4356 280.074 10.2198 9.70643 279.95 10.2053 9.84507 
1.56 88.5551 11.4449 280.074 10.2212 9.70465 279.949 10.2066 9.84407 
1.57 88.5459 11.4541 280.074 10.2227 9.70286 279.949 10.2079 9.84307 
1.58 88.5366 11.4634 280.075 10.2241 9.70108 279.949 10.2091 9.84208 
1.59 88.5274 11.4726 280.075 10.2256 9.69929 279.949 10.2104 9.84108 
1.6 88.5181 11.4819 280.075 10.2271 9.69751 279.948 10.2117 9.84008 
1.61 88.5089 11.4911 280.076 10.2285 9.69573 279.948 10.213 9.83908 
1.62 88.4996 11.5004 280.076 10.23 9.69395 279.948 10.2142 9.83808 
1.63 88.4903 11.5097 280.076 10.2315 9.69217 279.947 10.2155 9.83708 
1.64 88.4811 11.5189 280.077 10.2329 9.6904 279.947 10.2168 9.83608 
1.65 88.4718 11.5282 280.077 10.2344 9.68862 279.947 10.218 9.83508 
1.66 88.4626 11.5374 280.077 10.2359 9.68685 279.947 10.2193 9.83409 
1.67 88.4533 11.5467 280.078 10.2373 9.68508 279.946 10.2206 9.83309 
1.68 88.4441 11.5559 280.078 10.2388 9.68331 279.946 10.2219 9.83209 
1.69 88.4348 11.5652 280.078 10.2403 9.68154 279.946 10.2231 9.83109 
1.7 88.4255 11.5745 280.078 10.2418 9.67977 279.946 10.2244 9.83009 
1.71 88.4163 11.5837 280.079 10.2432 9.678 279.945 10.2257 9.82909 
1.72 88.407 11.593 280.079 10.2447 9.67624 279.945 10.2269 9.82809 
1.73 88.3978 11.6022 280.079 10.2462 9.67447 279.945 10.2282 9.8271 
1.74 88.3885 11.6115 280.08 10.2476 9.67271 279.944 10.2295 9.8261 
1.75 88.3793 11.6207 280.08 10.2491 9.67095 279.944 10.2307 9.8251 
1.76 88.37 11.63 280.08 10.2506 9.66919 279.944 10.232 9.8241 
1.77 88.3607 11.6393 280.081 10.2521 9.66743 279.944 10.2333 9.8231 
1.78 88.3515 11.6485 280.081 10.2535 9.66567 279.943 10.2345 9.8221 
1.79 88.3422 11.6578 280.081 10.255 9.66392 279.943 10.2358 9.8211 
1.8 88.333 11.667 280.081 10.2565 9.66216 279.943 10.2371 9.82011 
1.81 88.3237 11.6763 280.082 10.258 9.66041 279.943 10.2383 9.81911 
1.82 88.3145 11.6855 280.082 10.2594 9.65866 279.942 10.2396 9.81811 
1.83 88.3052 11.6948 280.082 10.2609 9.65691 279.942 10.2408 9.81711 
1.84 88.2959 11.7041 280.082 10.2624 9.65516 279.942 10.2421 9.81611 
1.85 88.2867 11.7133 280.083 10.2639 9.65341 279.942 10.2434 9.81511 
1.86 88.2774 11.7226 280.083 10.2654 9.65166 279.941 10.2446 9.81412 
1.87 88.2682 11.7318 280.083 10.2668 9.64992 279.941 10.2459 9.81312 
1.88 88.2589 11.7411 280.084 10.2683 9.64817 279.941 10.2471 9.81212 
1.89 88.2497 11.7503 280.084 10.2698 9.64643 279.94 10.2484 9.81112 
1.9 88.2404 11.7596 280.084 10.2713 9.64469 279.94 10.2497 9.81012 
1.91 88.2312 11.7688 280.084 10.2728 9.64295 279.94 10.2509 9.80912 
1.92 88.2219 11.7781 280.085 10.2743 9.64121 279.94 10.2522 9.80813 
1.93 88.2126 11.7874 280.085 10.2757 9.63948 279.939 10.2534 9.80713 
1.94 88.2034 11.7966 280.085 10.2772 9.63774 279.939 10.2547 9.80613 
1.95 88.1941 11.8059 280.085 10.2787 9.63601 279.939 10.2559 9.80513 
1.96 88.1849 11.8151 280.086 10.2802 9.63427 279.939 10.2572 9.80413 
1.97 88.1756 11.8244 280.086 10.2817 9.63254 279.938 10.2584 9.80314 
1.98 88.1664 11.8336 280.086 10.2832 9.63081 279.938 10.2597 9.80214 
1.99 88.1571 11.8429 280.086 10.2847 9.62908 279.938 10.2609 9.80114 
2 88.1478 11.8522 280.087 10.2861 9.62736 279.938 10.2622 9.80014 
2.01 88.1386 11.8614 280.087 10.2876 9.62563 279.937 10.2635 9.79914 
2.02 88.1293 11.8707 280.087 10.2891 9.62391 279.937 10.2647 9.79814 
2.03 88.1201 11.8799 280.087 10.2906 9.62218 279.937 10.266 9.79715 
2.04 88.1108 11.8892 280.087 10.2921 9.62046 279.937 10.2672 9.79615 
2.05 88.1016 11.8984 280.088 10.2936 9.61874 279.936 10.2685 9.79515 
2.06 88.0923 11.9077 280.088 10.2951 9.61702 279.936 10.2697 9.79415 
2.07 88.0831 11.9169 280.088 10.2966 9.6153 279.936 10.2709 9.79315 
2.08 88.0738 11.9262 280.088 10.2981 9.61359 279.936 10.2722 9.79216 
