#t MKKK MKKK_P MKK MKK_P MKK_PP MAPK MAPK_P MAPK_PP 
##CONCENTRATIONS
0 90 10 280 10 10 280 10 10 
10 80.718 19.282 279.662 11.6565 8.68109 279.88 11.1054 9.01507 
20 71.2642 28.7358 277.411 13.8792 8.71021 280.012 11.8575 8.13013 
30 61.6227 38.3773 273.234 16.6896 10.0766 280.05 12.4867 7.4635 
40 51.974 48.026 267.121 20.0773 12.8015 279.667 13.1953 7.13742 
50 42.6595 57.3405 259.105 23.9659 16.9288 278.551 14.1698 7.27936 
60 34.1268 65.8732 249.3 28.2199 22.4801 276.391 15.5743 8.03503 
70 26.824 73.176 237.921 32.6736 29.4052 272.885 17.532 9.58258 
80 21.0614 78.9386 225.277 37.1633 37.5598 267.755 20.1063 12.1388 
90 16.9094 83.0906 211.724 41.5522 46.7239 260.755 23.293 15.9518 
100 14.2049 85.7951 197.611 45.7411 56.6475 251.69 27.0276 21.2823 
##CONCENTRATIONS
#t MKKK MKKK_P MKK MKK_P MKK_PP MAPK MAPK_P MAPK_PP 


